API Well Number,Well Name,Well Name Suffix,Bottom Lease Number,Bottom Area,Bottom Block,Company Name,Spud Date,BH Total MD (feet),True Vertical Depth (feet),TVD Subsea (feet),RKB,KOP,Total Depth Date,Status Date,Type Code,Status Code,Casing Cut Code,Water Depth (feet),Underwater Comp Stub,Surface Lease Number,Surface Latitude,Surface Longitude,Bottom Latitude,Bottom Longitude
608174016402, A062,ST02BP01,G02638,MC,  194,"EnVen Energy Ventures, LLC",7/4/1997,14233,9861,9745,116,9746,7/17/1997,7/21/1997,D,ST,N,1024,N,G02638,28.79086478,-89.05641384,28.77998698,-89.07987114
608174010303, A010,ST03BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",12/21/1996,14491,9230,9122,108,11847,1/6/1997,9/1/1997,D,ST,N,1024,N,G02638,28.79086578,-89.05634829,28.77591148,-89.07724269
608174010401, A016,ST01BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",4/25/1980,12803,9461,9356,105,2146,5/7/1980,2/5/1997,D,ST,N,1024,N,G02638,28.79088668,-89.05642051,28.79701548,-89.07869301
608174015901, A056,ST01BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",10/1/1990,10452,10017,9909,108,3724,11/25/1990,7/19/1995,D,ST,N,1024,N,G02638,28.79082894,-89.05641938,28.79177954,-89.06378478
608174007601, A014,ST01BP02,G02638,MC,  194,"EnVen Energy Ventures, LLC",3/7/1990,13336,9413,9305,108,3540,9/19/1990,9/5/2000,D,ST,N,1024,N,G02638,28.79081548,-89.05640038,28.77233648,-89.07115528
608174014901, A048,ST01BP00,G02639,MC,  195,"EnVen Energy Ventures, LLC",3/24/1990,10400,8838,8722,116,4415,4/1/1990,7/28/1996,D,ST,N,1024,N,G02638,28.79082055,-89.05642858,28.77766615,-89.05420528
608174007702, A008,ST02BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",4/7/1996,12498,8484,8379,105,9447,4/26/1996,8/3/2000,D,ST,N,1024,N,G02638,28.79088436,-89.05639237,28.79055456,-89.07329807
608174007701, A008,ST01BP01,G02642,MC,  150,"EnVen Energy Ventures, LLC",3/7/1994,11933,8987,8882,105,11361,3/15/1994,4/7/1996,D,ST,N,1024,N,G02638,28.79088436,-89.05639237,28.79743666,-89.07147497
608174012900, A032,ST00BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",10/15/1980,11856,9371,9266,105,,10/26/1980,8/26/1987,D,ST,N,1024,N,G02638,28.79090901,-89.05639909,28.79917331,-89.07425469
608174013001, A041,ST01BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",8/26/1995,12508,9666,9558,108,8380,9/7/1995,9/13/1995,D,ST,N,1024,N,G02638,28.79106839,-89.05622739,28.79638589,-89.06456199
608174009602, A004,ST02BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",6/18/1995,11655,8575,8470,105,7380,7/6/1995,4/24/2016,D,ST,N,1024,N,G02638,28.79084833,-89.05646345,28.78689343,-89.07222625
608174011901, A034,ST01BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",5/3/1995,11920,8991,8886,105,7350,5/24/1995,9/25/1998,D,ST,N,1025,N,G02638,28.79087317,-89.05640463,28.78865957,-89.07197353
608174007901, A003,ST01BP00,G02643,MC,  151,"EnVen Energy Ventures, LLC",4/8/1995,10720,8369,8264,105,6487,5/4/1995,11/20/1997,D,ST,N,1025,N,G02638,28.79104981,-89.05618332,28.80011991,-89.05006312
608174007401, A006,ST01BP01,G02642,MC,  150,"EnVen Energy Ventures, LLC",3/15/1995,12450,9381,9276,105,11120,3/26/1995,3/21/2001,D,ST,N,1025,N,G02638,28.79087929,-89.05636417,28.79610159,-89.07035127
608174007201, A013,ST01BP02,G02643,MC,  151,"EnVen Energy Ventures, LLC",12/20/1994,10952,8322,8214,108,8922,1/6/1995,5/11/1998,D,ST,N,1025,N,G02638,28.79105825,-89.056171,28.80213715,-89.0470231
608174011401, A024,ST01BP01,G02638,MC,  194,"EnVen Energy Ventures, LLC",12/22/1993,11990,11990,11885,105,11508,12/30/1993,7/21/2002,D,ST,N,1024,N,G02638,28.79085811,-89.05645277,28.79080551,-89.07573747
608174011201, A031,ST01BP01,G02642,MC,  150,"EnVen Energy Ventures, LLC",6/20/1994,13000,8585,8477,108,12490,6/25/1994,3/14/2019,D,ST,N,1024,N,G02638,28.79107683,-89.05621507,28.81158313,-89.06713897
608174006700, A005,ST00BP01,G02639,MC,  195,"EnVen Energy Ventures, LLC",4/4/1979,14077,12936,12828,108,4060,5/9/1979,1/11/1990,D,ST,N,1024,N,G02638,28.79105593,-89.05614286,28.78606373,-89.04434146
608174000300,  001,ST00BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",6/28/1975,9750,9750,9666,84,,7/17/1975,7/23/1975,E,ST,Y,1023,N,G02638,28.79108986,-89.07423838,28.79107276,-89.07429668
608174015100, A059,ST00BP00,G02643,MC,  151,"EnVen Energy Ventures, LLC",2/24/1981,10410,8331,8223,108,,3/9/1981,4/4/2003,D,ST,N,1024,N,G02638,28.79106945,-89.05616112,28.80507805,-89.05381552
